id,y_true,y_pred,absolute_error
1734871627.284868,235.0,169.59506426542373,65.40493573457627
1734871637.304331,114.0,88.07153288021792,25.928467119782084
1734871647.327997,94.0,100.7082718540757,6.708271854075704
1734871657.351996,66.0,176.4441606004218,110.44416060042181
1734871667.374441,281.0,253.30735119625587,27.692648803744135
1734871677.396923,281.0,253.30735119625587,27.692648803744135
1734871687.421408,270.0,291.0020987055199,21.002098705519927
1734871697.441543,248.0,216.00836594105994,31.991634058940065
1734871707.46533,127.0,164.33015823591927,37.33015823591927
1734871717.489952,272.0,239.46228792160946,32.53771207839054
1734871727.512044,170.0,191.16913737313726,21.16913737313726
1734871737.535952,53.0,99.06198406680252,46.06198406680252
1734871747.555027,196.0,164.1638609596704,31.836139040329613
1734871757.578076,258.0,234.58534354544747,23.414656454552528
1734871767.60047,39.0,58.46867367244572,19.468673672445718
1734871777.618286,270.0,291.0020987055199,21.002098705519927
1734871787.637644,158.0,95.3081803713743,62.691819628625694
1734871797.65585,59.0,77.18827231583384,18.188272315833842
1734871807.675643,265.0,165.79595853246482,99.20404146753518
1734871817.692952,87.0,112.82246612771675,25.82246612771675
1734871827.71267,170.0,134.57861970761707,35.421380292382935
1734871837.730826,288.0,209.09168695805238,78.90831304194762
1734871847.752412,174.0,172.6762701758009,1.3237298241990914
1734871857.774956,197.0,194.39235775717015,2.6076422428298542
1734873327.133437,90.0,177.2721604731096,87.27216047310961
1734873337.158101,67.0,187.23613210599729,120.23613210599729
1734873347.182617,185.0,145.42886478164903,39.571135218350975
1734873357.205291,265.0,201.48184993149977,63.51815006850023
1734873367.223975,45.0,34.891630978604084,10.108369021395916
1734874984.522501,125.0,101.83547601327305,23.164523986726948
1734874994.54741,259.0,158.27435685146017,100.72564314853983
1734875004.56997,283.0,184.78118571770753,98.21881428229247
1734875014.590744,258.0,234.58534354544747,23.414656454552528
1734875024.607099,341.0,261.50330095372067,79.49669904627933
